agey,serogroup,country,survyr,ipd
60,PCV13,South Africa,2015,3
61,PCV13,South Africa,2015,4
62,PCV13,South Africa,2015,2
63,PCV13,South Africa,2015,7
64,PCV13,South Africa,2015,1
65,PCV13,South Africa,2015,3
66,PCV13,South Africa,2015,6
67,PCV13,South Africa,2015,0
68,PCV13,South Africa,2015,2
69,PCV13,South Africa,2015,1
70,PCV13,South Africa,2015,3
71,PCV13,South Africa,2015,1
72,PCV13,South Africa,2015,1
73,PCV13,South Africa,2015,1
74,PCV13,South Africa,2015,1
75,PCV13,South Africa,2015,2
76,PCV13,South Africa,2015,2
77,PCV13,South Africa,2015,0
78,PCV13,South Africa,2015,0
79,PCV13,South Africa,2015,1
80,PCV13,South Africa,2015,2
81,PCV13,South Africa,2015,0
82,PCV13,South Africa,2015,2
83,PCV13,South Africa,2015,1
84,PCV13,South Africa,2015,0
85,PCV13,South Africa,2015,0
86,PCV13,South Africa,2015,0
87,PCV13,South Africa,2015,1
88,PCV13,South Africa,2015,0
89,PCV13,South Africa,2015,1
90,PCV13,South Africa,2015,2
55,PCV15,South Africa,2015,9
56,PCV15,South Africa,2015,6
57,PCV15,South Africa,2015,5
58,PCV15,South Africa,2015,7
59,PCV15,South Africa,2015,4
60,PCV15,South Africa,2015,3
61,PCV15,South Africa,2015,4
62,PCV15,South Africa,2015,2
63,PCV15,South Africa,2015,7
64,PCV15,South Africa,2015,1
65,PCV15,South Africa,2015,3
66,PCV15,South Africa,2015,7
67,PCV15,South Africa,2015,0
68,PCV15,South Africa,2015,2
69,PCV15,South Africa,2015,1
70,PCV15,South Africa,2015,3
71,PCV15,South Africa,2015,2
72,PCV15,South Africa,2015,1
73,PCV15,South Africa,2015,1
74,PCV15,South Africa,2015,1
75,PCV15,South Africa,2015,3
76,PCV15,South Africa,2015,3
77,PCV15,South Africa,2015,1
78,PCV15,South Africa,2015,0
79,PCV15,South Africa,2015,1
80,PCV15,South Africa,2015,2
81,PCV15,South Africa,2015,1
82,PCV15,South Africa,2015,2
83,PCV15,South Africa,2015,2
84,PCV15,South Africa,2015,1
85,PCV15,South Africa,2015,0
86,PCV15,South Africa,2015,0
87,PCV15,South Africa,2015,1
88,PCV15,South Africa,2015,0
89,PCV15,South Africa,2015,1
90,PCV15,South Africa,2015,2
55,PCV20,South Africa,2015,14
56,PCV20,South Africa,2015,11
57,PCV20,South Africa,2015,9
58,PCV20,South Africa,2015,9
59,PCV20,South Africa,2015,12
60,PCV20,South Africa,2015,12
61,PCV20,South Africa,2015,5
62,PCV20,South Africa,2015,7
63,PCV20,South Africa,2015,12
64,PCV20,South Africa,2015,2
65,PCV20,South Africa,2015,6
66,PCV20,South Africa,2015,7
67,PCV20,South Africa,2015,3
68,PCV20,South Africa,2015,5
69,PCV20,South Africa,2015,3
70,PCV20,South Africa,2015,6
71,PCV20,South Africa,2015,3
72,PCV20,South Africa,2015,1
73,PCV20,South Africa,2015,2
74,PCV20,South Africa,2015,4
75,PCV20,South Africa,2015,4
76,PCV20,South Africa,2015,8
77,PCV20,South Africa,2015,3
78,PCV20,South Africa,2015,3
79,PCV20,South Africa,2015,1
80,PCV20,South Africa,2015,3
81,PCV20,South Africa,2015,2
82,PCV20,South Africa,2015,3
83,PCV20,South Africa,2015,4
84,PCV20,South Africa,2015,1
85,PCV20,South Africa,2015,0
86,PCV20,South Africa,2015,3
87,PCV20,South Africa,2015,2
88,PCV20,South Africa,2015,1
89,PCV20,South Africa,2015,1
90,PCV20,South Africa,2015,8
55,PPV23,South Africa,2015,14
56,PPV23,South Africa,2015,11
57,PPV23,South Africa,2015,11
58,PPV23,South Africa,2015,7
59,PPV23,South Africa,2015,13
60,PPV23,South Africa,2015,13
61,PPV23,South Africa,2015,6
